Date,Close,High,Low,Open,Volume,Daily_Return,Tomorrow_Direction,MA5,MA20,MA_Signal,Volatility5,RSI14,Volume_Change,DayOfWeek,Target
2019-02-12,10831.400390625,10910.900390625,10823.7998046875,10879.7001953125,292300,-0.5271417887377283,0,10959.130078125,10869.064990234376,1,0.869436676380767,49.99428780075849,2.202797202797213,1,0
2019-02-14,10746.0498046875,10792.7001953125,10718.75,10786.099609375,627000,-0.7879921603800577,0,10895.85,10861.852490234374,1,0.4402279892139902,44.47521856792507,114.5056448853917,3,0
2019-02-15,10724.400390625,10785.75,10620.400390625,10780.25,521900,-0.2014639281967212,0,10826.85,10852.8125,0,0.35085716455439475,46.85031821662834,-16.762360446570966,4,0
2019-02-18,10640.9501953125,10759.900390625,10628.400390625,10738.650390625,345400,-0.778133902809619,0,10766.3201171875,10839.5125,0,0.24119357863951113,48.79647168907045,-33.81873922207319,0,0
2019-02-19,10604.349609375,10722.849609375,10585.650390625,10636.7001953125,291500,-0.34395975233135756,1,10709.430078125,10821.6375,0,0.2601249247254197,47.29061261052038,-15.60509554140127,1,1
2019-02-20,10735.4501953125,10752.7001953125,10646.400390625,10655.4501953125,289200,1.236290680397767,1,10690.2400390625,10812.272509765626,0,0.8307404832383095,54.125781970981095,-0.7890222984562656,2,1
2019-02-21,10789.849609375,10808.849609375,10721.5,10744.099609375,279600,0.5067269008080633,1,10699.0,10810.189990234376,0,0.7928407558849135,47.688383532691745,-3.319502074688796,3,1
2019-02-22,10791.650390625,10801.5498046875,10758.400390625,10782.7001953125,396800,0.016689586186968697,1,10712.45,10807.28251953125,0,0.7790949596250076,43.84133513212639,41.917024320457806,4,1
2019-02-25,10880.099609375,10887.099609375,10788.0498046875,10813.25,385900,0.8196078963680797,0,10760.2798828125,10812.260009765625,0,0.627727664292712,48.209791822095,-2.7469758064516125,0,0
2019-02-26,10835.2998046875,10888.75,10729.2998046875,10775.2998046875,415000,-0.4117591409631749,0,10806.469921875,10820.947509765625,0,0.6494436655693416,44.620667050650916,7.540813682301106,1,0
2019-02-27,10806.650390625,10939.7001953125,10751.2001953125,10881.2001953125,381100,-0.2644081343287419,0,10820.7099609375,10828.67001953125,0,0.5194529259777707,34.425246964891556,-8.168674698795176,2,0
2019-02-28,10792.5,10865.7001953125,10784.849609375,10865.7001953125,644200,-0.13094150466157473,1,10821.2400390625,10835.705029296874,0,0.48178526838028807,33.28704369537489,69.03699816321176,3,1
2019-03-01,10863.5,10877.900390625,10823.099609375,10842.650390625,308500,0.6578642575862936,1,10835.6099609375,10837.33251953125,0,0.5637526061729295,44.822928527606585,-52.11114560695436,4,1
2019-03-05,10987.4501953125,10994.900390625,10817.0,10864.849609375,373200,1.1409784628572783,1,10857.080078125,10842.022509765626,1,0.6697971561746703,55.85288582764758,20.97244732576986,1,1
2019-03-06,11053.0,11062.2998046875,10998.849609375,11024.849609375,372600,0.5965879573721855,1,10900.6201171875,10849.060009765624,1,0.5868404663457677,63.021477708585344,-0.1607717041800627,2,1
2019-03-07,11058.2001953125,11089.0498046875,11027.099609375,11077.9501953125,321200,0.047047817900125466,0,10950.930078125,10855.2525390625,1,0.5102090129557101,70.2497820710347,-13.794954374664513,3,0
2019-03-08,11035.400390625,11049.0,11008.9501953125,11038.849609375,326600,-0.20618006804727917,1,10999.51015625,10853.900048828125,1,0.5326940986874574,70.14508632054108,1.6811955168119619,4,1
2019-03-11,11168.0498046875,11180.900390625,11059.849609375,11068.75,352200,1.2020353532001593,1,11060.4201171875,10858.83251953125,1,0.6326846761178356,82.09717818379032,7.838334353949783,0,1
2019-03-12,11301.2001953125,11320.400390625,11227.0,11231.349609375,391300,1.1922438828049886,1,11123.1701171875,10876.712548828125,1,0.644831531719224,87.96932549940246,11.101646791595687,1,1
2019-03-13,11341.7001953125,11352.2998046875,11276.599609375,11326.2001953125,383000,0.358369016565141,1,11180.91015625,10899.357568359375,1,0.6508113177271471,86.6514031205647,-2.121134679274217,2,1
2019-03-14,11343.25,11383.4501953125,11313.75,11382.5,294500,0.013664659273393553,1,11237.9201171875,10924.950048828125,1,0.6570014699867195,85.74018012563384,-23.10704960835509,3,1
2019-03-15,11426.849609375,11487.0,11370.7998046875,11376.849609375,463700,0.7369987382364052,1,11316.2099609375,10958.9900390625,1,0.5204512892722412,87.10284276167029,57.45331069609507,4,1
2019-03-18,11462.2001953125,11530.150390625,11412.5,11473.849609375,320300,0.30936423551506387,1,11375.0400390625,10995.880029296875,1,0.45438010617048147,86.24990725751032,-30.92516713392279,0,1
2019-03-19,11532.400390625,11543.849609375,11451.25,11500.2998046875,326100,0.6124495656707252,0,11421.280078125,11040.4525390625,1,0.2818313528545453,92.08020948408296,1.810802372775533,1,0
2019-03-20,11521.0498046875,11556.099609375,11503.099609375,11553.349609375,366300,-0.09842344657688962,0,11457.15,11086.287548828124,1,0.3634256098933712,94.04430048225994,12.327506899724018,2,0
2019-03-22,11456.900390625,11572.7998046875,11434.5498046875,11549.2001953125,386200,-0.5568018119008533,0,11479.880078125,11122.36005859375,1,0.532035193231046,88.5830656576655,5.4327054327054425,4,0
2019-03-25,11354.25,11395.650390625,11311.599609375,11395.650390625,294500,-0.8959700017030503,1,11465.36015625,11150.580078125,1,0.615234543293177,77.4883652745839,-23.744174003107197,0,1
2019-03-26,11483.25,11496.75,11352.4501953125,11375.2001953125,282600,1.1361384503600025,0,11469.5701171875,11185.16005859375,1,0.8337550517670334,77.61499926570174,-4.040747028862479,1,0
2019-03-27,11445.0498046875,11546.2001953125,11413.0,11531.4501953125,350400,-0.33266013813597617,1,11452.1,11213.407568359375,1,0.7765524604884447,72.52252201710203,23.99150743099787,2,1
2019-03-28,11570.0,11588.5,11452.4501953125,11463.650390625,527700,1.0917400749215211,1,11461.8900390625,11250.142578125,1,0.9574717286532294,75.84584899537708,50.599315068493155,3,1
2019-04-01,11669.150390625,11738.099609375,11644.75,11665.2001953125,379600,0.8569610252809001,1,11504.3400390625,11293.267578125,1,0.9275520881049429,79.71303406633054,-28.065188554102704,0,1
2019-04-02,11713.2001953125,11729.349609375,11655.849609375,11711.5498046875,386100,0.37748939051200914,0,11576.130078125,11339.302587890625,1,0.6146716222226095,77.87490512523469,1.7123287671232834,1,0
2019-04-03,11643.9501953125,11761.0,11629.150390625,11735.2998046875,365800,-0.5912133221091298,0,11608.2701171875,11378.32509765625,1,0.7306973003481622,68.75100172456902,-5.2577052577052585,2,0
2019-04-04,11598.0,11662.5498046875,11559.2001953125,11660.2001953125,349000,-0.3946272059030087,1,11638.86015625,11408.852587890626,1,0.7440989600456702,63.938406763062325,-4.59267359212685,3,1
2019-04-05,11665.9501953125,11689.650390625,11609.5,11638.400390625,266700,0.5858785593421345,0,11658.0501953125,11439.50009765625,1,0.6297070261832572,66.36739804707662,-23.581661891117477,4,0
2019-04-08,11604.5,11710.2998046875,11549.099609375,11704.349609375,260900,-0.5267483083991831,1,11645.1201171875,11466.815087890625,1,0.5495795697802421,59.21755609153002,-2.1747281589801326,0,1
2019-04-09,11671.9501953125,11683.900390625,11569.7001953125,11612.0498046875,300500,0.5812417192683883,0,11636.8701171875,11498.642578125,1,0.599990316986163,60.53224145540136,15.178229206592576,1,0
2019-04-10,11584.2998046875,11680.0498046875,11571.75,11646.849609375,359900,-0.7509489773200095,1,11624.9400390625,11519.455078125,1,0.6378025050366537,52.56115791614418,19.767054908485846,2,1
2019-04-11,11596.7001953125,11606.7001953125,11550.5498046875,11592.5498046875,279800,0.10704480058416621,1,11624.680078125,11534.230078125,1,0.6192616295819108,53.729368742742594,-22.256182272853575,3,1
2019-04-12,11643.4501953125,11657.349609375,11578.7998046875,11612.849609375,246000,0.40313191867198395,1,11620.180078125,11549.317578125,1,0.5801430975542299,59.35694084016391,-12.080057183702642,4,1
2019-04-15,11690.349609375,11704.599609375,11648.25,11667.0,290000,0.40279653604204935,1,11637.35,11566.67255859375,1,0.5309181709207135,67.85671296104132,17.886178861788625,0,1
2019-04-16,11787.150390625,11810.9501953125,11731.5498046875,11736.2001953125,354300,0.8280400884877803,0,11660.3900390625,11584.68759765625,1,0.5894379202603571,66.71798916103302,22.17241379310344,1,0
2019-04-18,11752.7998046875,11856.150390625,11738.5,11856.150390625,339700,-0.29142400664389223,0,11694.0900390625,11599.217578125,1,0.4142871809360497,67.00177173723043,-4.120801580581423,3,0
2019-04-22,11594.4501953125,11727.0498046875,11583.9501953125,11727.0498046875,260400,-1.3473352052831178,0,11693.6400390625,11602.320068359375,1,0.853030816908861,51.302687374801636,-23.344127171033268,0,0
2019-04-23,11575.9501953125,11645.9501953125,11564.7998046875,11612.9501953125,272500,-0.15955909670886115,1,11680.1400390625,11605.065087890625,1,0.8229804915089708,44.56749799917804,4.646697388632881,1,1
2019-04-24,11726.150390625,11740.849609375,11578.849609375,11601.5,335200,1.2975193636658888,0,11687.3001953125,11618.527587890625,1,1.0336209104907426,50.67172397164586,23.009174311926593,2,0
2019-04-25,11641.7998046875,11796.75,11624.2998046875,11735.7001953125,604400,-0.7193374050953438,1,11658.230078125,11632.905078125,1,0.97838584813116,49.890180040895714,80.31026252983293,3,1
2019-04-26,11754.650390625,11762.900390625,11661.75,11683.75,333500,0.9693568677590747,0,11658.6001953125,11646.47509765625,1,1.1159185010334585,57.48840396767302,-44.82131039046989,4,0
2019-04-30,11748.150390625,11756.25,11655.900390625,11748.75,532600,-0.05529726349993158,0,11689.340234375,11661.630126953125,1,0.8387436914995056,54.17470546982486,59.70014992503747,1,0
